schemaVersion,recordType,source.name,source.url,content.entityName,content.data.employeeCount,collectedAt
1.0,STARTUP,AI Ecosystem Directory,https://github.com/fazer-ai,fazer-ai,20,2026-09-03T10:26:16.381758Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/NVIDIA-AI-Blueprints,NVIDIA-AI-Blueprints,20,2026-09-03T10:26:16.381761Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/QoderAI,QoderAI,20,2026-09-03T10:26:16.381763Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/commune-ai,commune-ai,20,2026-09-03T10:26:16.381767Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/Explore-AI,Explore-AI,20,2026-09-03T10:26:16.381770Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/sail-sg,sail-sg,20,2026-09-03T10:26:16.381773Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/VinAIResearch,VinAIResearch,20,2026-09-03T10:26:16.381775Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/viktor-platform,viktor-platform,20,2026-09-03T10:26:16.381778Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/OthersideAI,OthersideAI,20,2026-09-03T10:26:16.381785Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/PolymathicAI,PolymathicAI,20,2026-09-03T10:26:16.381788Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/AlignmentResearch,AlignmentResearch,20,2026-09-03T10:26:16.381791Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/FellouAI,FellouAI,20,2026-09-03T10:26:16.381794Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/ConnectAI-E,ConnectAI-E,20,2026-09-03T10:26:16.381797Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/towardsai,towardsai,20,2026-09-03T10:26:16.381800Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/NovelAI,NovelAI,20,2026-09-03T10:26:16.381803Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/tetsuo-ai,tetsuo-ai,20,2026-09-03T10:26:16.381806Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/All-About-AI-YouTube,All-About-AI-YouTube,20,2026-09-03T10:26:16.381809Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/ShiftLeftSecurity,ShiftLeftSecurity,20,2026-09-03T10:26:16.381811Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/clovaai,clovaai,20,2026-09-03T10:26:16.381814Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/VectifyAI,VectifyAI,20,2026-09-03T10:26:16.381818Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/RelevanceAI,RelevanceAI,20,2026-09-03T10:26:16.381821Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/aidotse,aidotse,20,2026-09-03T10:26:16.381824Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/epoch-research,epoch-research,20,2026-09-03T10:26:16.381827Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/Trae-AI,Trae-AI,20,2026-09-03T10:26:16.381830Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/Infrasys-AI,Infrasys-AI,20,2026-09-03T10:26:16.381832Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/sendaifun,sendaifun,20,2026-09-03T10:26:16.381835Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/wit-ai,wit-ai,20,2026-09-03T10:26:16.381838Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/HFAiLab,HFAiLab,20,2026-09-03T10:26:16.381841Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/run-ai,run-ai,20,2026-09-03T10:26:16.381844Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/SandAI-org,SandAI-org,20,2026-09-03T10:26:16.381847Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/The-AI-Summer,The-AI-Summer,20,2026-09-03T10:26:16.381850Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/XLabs-AI,XLabs-AI,20,2026-09-03T10:26:16.381853Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/ContinualAI,ContinualAI,20,2026-09-03T10:26:16.381855Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/h2oai,h2oai,20,2026-09-03T10:26:16.381858Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/SpectacularAI,SpectacularAI,20,2026-09-03T10:26:16.381861Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/oraios,oraios,20,2026-09-03T10:26:16.381864Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/Dao-AILab,Dao-AILab,20,2026-09-03T10:26:16.381867Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/confident-ai,confident-ai,20,2026-09-03T10:26:16.381870Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/fw-ai,fw-ai,20,2026-09-03T10:26:16.381872Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/sionic-ai,sionic-ai,20,2026-09-03T10:26:16.381877Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/kuafuai,kuafuai,20,2026-09-03T10:26:16.381880Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/gretelai,gretelai,20,2026-09-03T10:26:16.381883Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/EmergenceAI,EmergenceAI,20,2026-09-03T10:26:16.381886Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/determined-ai,determined-ai,20,2026-09-03T10:26:16.381888Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/aaif,aaif,20,2026-09-03T10:26:16.381891Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/rh-ai-quickstart,rh-ai-quickstart,20,2026-09-03T10:26:16.381894Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/defog-ai,defog-ai,20,2026-09-03T10:26:16.381897Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/novitalabs,novitalabs,20,2026-09-03T10:26:16.381900Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/SalesforceAIResearch,SalesforceAIResearch,20,2026-09-03T10:26:16.381903Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/code-kern-ai,code-kern-ai,20,2026-09-03T10:26:16.381906Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/lastmile-ai,lastmile-ai,20,2026-09-03T10:26:16.381908Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/evidentlyai,evidentlyai,20,2026-09-03T10:26:16.381911Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/figurerobotics,figurerobotics,20,2026-09-03T10:26:16.381914Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/serp-ai,serp-ai,20,2026-09-03T10:26:16.381917Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/FlagAI-Open,FlagAI-Open,20,2026-09-03T10:26:16.381920Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/paiml,paiml,20,2026-09-03T10:26:16.381923Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/AI-Planning,AI-Planning,20,2026-09-03T10:26:16.381925Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/aifoundry-org,aifoundry-org,20,2026-09-03T10:26:16.381928Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/NapthaAI,NapthaAI,20,2026-09-03T10:26:16.381931Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/om-ai-lab,om-ai-lab,20,2026-09-03T10:26:16.381934Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/PrunaAI,PrunaAI,20,2026-09-03T10:26:16.381937Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/trypear,trypear,20,2026-09-03T10:26:16.381940Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/Oxen-AI,Oxen-AI,20,2026-09-03T10:26:16.381942Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/maximhq,maximhq,20,2026-09-03T10:26:16.381947Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/ReconAI,ReconAI,20,2026-09-03T10:26:16.381950Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/tradingstrategy-ai,tradingstrategy-ai,20,2026-09-03T10:26:16.381953Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/Marker-Inc-Korea,Marker-Inc-Korea,20,2026-09-03T10:26:16.381956Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/The-AI-Alliance,The-AI-Alliance,20,2026-09-03T10:26:16.381959Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/jupyter-naas,jupyter-naas,20,2026-09-03T10:26:16.381961Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/trustyai-explainability,trustyai-explainability,20,2026-09-03T10:26:16.381964Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/vast-ai,vast-ai,20,2026-09-03T10:26:16.381967Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/AssemblyAI-Community,AssemblyAI-Community,20,2026-09-03T10:26:16.381970Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/RelationalAI,RelationalAI,20,2026-09-03T10:26:16.381973Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/PennyLaneAI,PennyLaneAI,20,2026-09-03T10:26:16.381976Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/sqliteai,sqliteai,20,2026-09-03T10:26:16.381979Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/spring-ai-community,spring-ai-community,20,2026-09-03T10:26:16.381982Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/axolotl-ai-cloud,axolotl-ai-cloud,20,2026-09-03T10:26:16.381985Z
