schemaVersion,recordType,source.name,source.url,content.startupName,content.pricingModel,collectedAt
1.0,PRODUCT,AI Product Index,https://github.com/tadata-org/fastapi_mcp,tadata-org,PAID,2026-09-03T10:29:36.600292Z
1.0,PRODUCT,AI Product Index,https://github.com/h2oai/h2ogpt,h2oai,FREE,2026-09-03T10:29:36.600302Z
1.0,PRODUCT,AI Product Index,https://github.com/dataelement/bisheng,dataelement,ENTERPRISE,2026-09-03T10:29:36.600309Z
1.0,PRODUCT,AI Product Index,https://github.com/semantica-agi/semantica,semantica-agi,FREE,2026-09-03T10:29:36.600317Z
1.0,PRODUCT,AI Product Index,https://github.com/tensorzero/tensorzero,tensorzero,FREE,2026-09-03T10:29:36.600342Z
1.0,PRODUCT,AI Product Index,https://github.com/0x4m4/hexstrike-ai,0x4m4,FREE,2026-09-03T10:29:36.600358Z
1.0,PRODUCT,AI Product Index,https://github.com/cocoindex-io/cocoindex,cocoindex-io,FREE,2026-09-03T10:29:36.600376Z
1.0,PRODUCT,AI Product Index,https://github.com/humanlayer/humanlayer,humanlayer,PAID,2026-09-03T10:29:36.600383Z
1.0,PRODUCT,AI Product Index,https://github.com/microsoft/promptflow,microsoft,PAID,2026-09-03T10:29:36.600390Z
1.0,PRODUCT,AI Product Index,https://github.com/MemTensor/MemOS,MemTensor,FREE,2026-09-03T10:29:36.600400Z
1.0,PRODUCT,AI Product Index,https://github.com/holaboss-ai/holaOS,holaboss-ai,ENTERPRISE,2026-09-03T10:29:36.600419Z
1.0,PRODUCT,AI Product Index,https://github.com/bytebot-ai/bytebot,bytebot-ai,FREE,2026-09-03T10:29:36.600430Z
1.0,PRODUCT,AI Product Index,https://github.com/getumbrel/llama-gpt,getumbrel,FREE,2026-09-03T10:29:42.204172Z
1.0,PRODUCT,AI Product Index,https://github.com/datawhalechina/all-in-rag,datawhalechina,FREE,2026-09-03T10:29:42.204196Z
1.0,PRODUCT,AI Product Index,https://github.com/langchain-ai/open-swe,langchain-ai,FREE,2026-09-03T10:29:42.204205Z
1.0,PRODUCT,AI Product Index,https://github.com/VoltAgent/voltagent,VoltAgent,FREE,2026-09-03T10:29:42.204212Z
1.0,PRODUCT,AI Product Index,https://github.com/sigoden/aichat,sigoden,FREE,2026-09-03T10:29:42.204220Z
1.0,PRODUCT,AI Product Index,https://github.com/Netflix/metaflow,Netflix,FREE,2026-09-03T10:29:42.204227Z
1.0,PRODUCT,AI Product Index,https://github.com/chaitin/PandaWiki,chaitin,FREE,2026-09-03T10:29:42.204239Z
1.0,PRODUCT,AI Product Index,https://github.com/omnigent-ai/omnigent,omnigent-ai,FREE,2026-09-03T10:29:42.204253Z
1.0,PRODUCT,AI Product Index,https://github.com/kyrolabs/awesome-langchain,kyrolabs,PAID,2026-09-03T10:29:42.204261Z
1.0,PRODUCT,AI Product Index,https://github.com/activeloopai/deeplake,activeloopai,PAID,2026-09-03T10:29:42.204269Z
1.0,PRODUCT,AI Product Index,https://github.com/iflytek/astron-agent,iflytek,ENTERPRISE,2026-09-03T10:29:42.204273Z
1.0,PRODUCT,AI Product Index,https://github.com/google/adk-go,google,FREE,2026-09-03T10:29:42.204281Z
1.0,PRODUCT,AI Product Index,https://github.com/microsoft/TypeChat,microsoft,FREE,2026-09-03T10:29:42.204288Z
1.0,PRODUCT,AI Product Index,https://github.com/lastmile-ai/mcp-agent,lastmile-ai,PAID,2026-09-03T10:29:42.204294Z
1.0,PRODUCT,AI Product Index,https://github.com/thesysdev/openui,thesysdev,FREE,2026-09-03T10:29:42.204300Z
1.0,PRODUCT,AI Product Index,https://github.com/0xPlaygrounds/rig,0xPlaygrounds,FREE,2026-09-03T10:29:42.204310Z
1.0,PRODUCT,AI Product Index,https://github.com/idosal/git-mcp,idosal,PAID,2026-09-03T10:29:42.204319Z
1.0,PRODUCT,AI Product Index,https://github.com/nebuly-ai/optimate,nebuly-ai,FREE,2026-09-03T10:29:42.204326Z
1.0,PRODUCT,AI Product Index,https://github.com/leptonai/search_with_lepton,leptonai,FREE,2026-09-03T10:29:42.204333Z
1.0,PRODUCT,AI Product Index,https://github.com/NirDiamant/Prompt_Engineering,NirDiamant,PAID,2026-09-03T10:29:42.204339Z
1.0,PRODUCT,AI Product Index,https://github.com/mufeedvh/code2prompt,mufeedvh,PAID,2026-09-03T10:29:42.204345Z
1.0,PRODUCT,AI Product Index,https://github.com/steel-dev/steel-browser,steel-dev,FREE,2026-09-03T10:29:42.204358Z
1.0,PRODUCT,AI Product Index,https://github.com/AAswordman/Operit,AAswordman,FREE,2026-09-03T10:29:42.204367Z
1.0,PRODUCT,AI Product Index,https://github.com/apache/hertzbeat,apache,FREE,2026-09-03T10:29:42.204374Z
1.0,PRODUCT,AI Product Index,https://github.com/guardrails-ai/guardrails,guardrails-ai,FREE,2026-09-03T10:29:42.204381Z
1.0,PRODUCT,AI Product Index,https://github.com/zhouxiaoka/autoclip,zhouxiaoka,FREE,2026-09-03T10:29:42.204391Z
1.0,PRODUCT,AI Product Index,https://github.com/strands-agents/harness-sdk,strands-agents,PAID,2026-09-03T10:29:42.204396Z
1.0,PRODUCT,AI Product Index,https://github.com/plastic-labs/honcho,plastic-labs,FREE,2026-09-03T10:29:42.204403Z
1.0,PRODUCT,AI Product Index,https://github.com/grab/cursor-talk-to-figma-mcp,grab,PAID,2026-09-03T10:29:42.204409Z
1.0,PRODUCT,AI Product Index,https://github.com/JerryZLiu/Dayflow,JerryZLiu,FREE,2026-09-03T10:29:42.204417Z
1.0,PRODUCT,AI Product Index,https://github.com/lintsinghua/DeepAudit,lintsinghua,FREE,2026-09-03T10:29:42.204428Z
1.0,PRODUCT,AI Product Index,https://github.com/mishushakov/llm-scraper,mishushakov,FREE,2026-09-03T10:29:42.204435Z
1.0,PRODUCT,AI Product Index,https://github.com/opensquilla/opensquilla,opensquilla,FREE,2026-09-03T10:29:42.204444Z
1.0,PRODUCT,AI Product Index,https://github.com/postgresml/postgresml,postgresml,FREE,2026-09-03T10:29:42.204451Z
